pincode,place_name,state_name,latitude,longitude
124304,Baroda,Haryana,29.3834,76.8126
124305,Khanpur,Haryana,29.9336,77.0544
124306,Mundlana,Haryana,29.2,76.7667
124307,Mehmoodpur,Haryana,29.3834,76.8126
124308,Ahulana,Haryana,29.3834,76.8126
124309,Madiana,Haryana,29.3834,76.8126
124311,Barota,Haryana,29.3834,76.8126
124314,Jassia,Haryana,29.3834,76.8126
124315,Gangana,Haryana,29.3834,76.8126
124316,Garhwal,Haryana,29.3834,76.8126
124317,Glwana,Haryana,29.3834,76.8126
124318,Jauli,Haryana,29.3834,76.8126
124320,Kathura,Haryana,29.3834,76.8126
124321,Lath,Haryana,29.3834,76.8126
124322,Katwal,Haryana,29.3834,76.8126
124324,Rabhra,Haryana,29.3834,76.8126
124402,Kharkauda,Haryana,28.9397,76.8731
124403,Rohat,Haryana,28.9344,76.975
124404,Hassangarh,Haryana,28.9397,76.8731
124406,Kansala,Haryana,28.9397,76.8731
124407,Sisana,Haryana,28.9,76.8333
124408,Farmana,Haryana,28.9847,76.8111
124411,Aval,Haryana,28.8894,76.7123
124412,Kahnaur,Haryana,28.75,76.4833
124413,Khanda,Haryana,28.9194,76.8981
124416,Baliana,Haryana,28.8894,76.7123
124417,Paksma,Haryana,28.8894,76.7123
124418,Dobh,Haryana,28.8894,76.7123
124421,Asan,Haryana,29.4092,76.8781
124423,Hamayunpur,Haryana,29.4092,76.8781
124424,Dhamar,Haryana,29.4092,76.8781
124425,Samchana,Haryana,29.4092,76.8781
124426,Rurki (Rohtak),Haryana,29.4092,76.8781
124427,Chirana,Haryana,29.4092,76.8781
124428,Rukhi,Haryana,29.4092,76.8781
124429,Rithal,Haryana,29.4092,76.8781
124430,Siwana Mall,Haryana,28.9852,76.8049
124501,Sampla,Haryana,28.7764,76.7667
124502,Rohad,Haryana,28.7299,76.8417
124504,Chhara,Haryana,28.7299,76.8417
124505,Assandah,Haryana,28.7299,76.8417
124506,Mandothi,Haryana,28.7299,76.8417
124507,Bahadurgarh,Haryana,28.6833,76.9167
124508,Noona Majra,Haryana,28.7299,76.8417
